subset,type_name,left_hand,right_hand,blue_pipette,yellow_pipette,red_pipette,8_channel_pipette,blue_tip,yellow_tip,red_tip,8_channel_tip,blue_tip_rack,yellow_tip_rack,red_tip_rack,8_channel_tip_rack,50ml_tube,15ml_tube,micro_tube,8_tube_stripes,8_tube_stripes_lid,50ml_tube_rack,15ml_tube_rack,micro_tube_rack,8_tube_stripes_rack,8_tube_stripes_rack_lid,cell_culture_plate,cell_culture_plate_lid,trash_can,centrifuge,vortex_mixer,magnetic_rack,pcr_machine,tube_with_spin_column,spin_column,tube_without_lid,pen,none
all,manipulated,0,0,0.9721802803286612,0.6970289802702898,0.5862681431005111,1.0639478877582487,0.5759705882352949,0.5851842105263138,0.7169285714285726,0,1.0629602888086644,1.030004056795132,1.0665454545454551,1.1692258953168044,1.0160665938864628,0,0.9301960639606397,1.6896330080610942,0.8775595947556613,0.7903309608540926,0,0.8437500000000047,0.9569999999999996,0,1.3325465872156015,0.8391622035195102,0.7199999999999989,1.0702209781968175,0,1.0212950819672133,0,0.8984929859719438,0.9767682619647344,1.2146927374301666,0.5930334728033463,0
train,manipulated,0,0,0.9299225287356323,0.6848907717633389,0.5604161904761905,1.052612446351931,0.5759705882352949,0.5851842105263138,0.7169285714285726,0,1.0385233494363932,1.0410637898686683,1.076692982456141,1.1769889298892986,0.991849445324881,0,0.9326318737270878,1.6692282352941175,0.8709591326105082,0.770627027027027,0,1.0225000000000004,1.0070588235294125,0,1.3310420301348138,0.8396086956521738,0.7199999999999989,1.0902947368421048,0,1.0257325581395351,0,0.8902451108213817,0.9963787375415266,1.2971031746031734,0.5771777777777767,0
train,left_manipulated,0,0,1.0305389610389617,0.5668640248640249,0.5741714285714287,1.2322941176470603,0.5649411764705884,0.5515555555555538,0.8066666666666679,0,1.0095411089866162,1.007674556213018,1.038510869565218,1.2052488479262669,0.958582484725051,0,0.9471564195298374,1.4090846774193548,0.8865009380863033,0.8148712121212127,0,1.3700000000000006,1.0535714285714295,0,1.2161593860684772,0.8586514913657768,0.7199999999999989,1.1216818181818178,0,1.0253456790123465,0,0.845675599435825,1.0417456140350874,1.3317500000000002,0.502575757575757,0
train,right_manipulated,0,0,0.9222555665512123,0.7016939159292036,0.5599418719211823,1.0353711194731887,0.5870000000000014,0.6071159420289833,0.6496250000000012,0,1.1931938775510205,1.1687285067873308,1.2363636363636374,1.0634259259259262,1.1085214285714275,0,0.9139090909090909,1.8716830543933054,0.8585210210210207,0.6604339622641497,0,0.6750000000000003,0.7899999999999999,0,1.5660797101449275,0.7999673202614382,0.0,1.0766608594657372,0,1.0319999999999907,0,0.9285478787878783,0.9687219251336876,1.265606060606058,0.6203684210526301,0
test,manipulated,0,0,0.9739402489626555,0.7067646341463415,0.605575,1.1225180995475126,0.0,0.0,0.0,0,1.0714077669902908,0.9399112426035504,1.0971428571428554,1.0141071428571422,0.9081468531468526,0,0.827890350877193,1.5723082352941156,0.8252857142857148,0.82858695652174,0,0.3400000000000176,0.4899999999999807,0,1.1949153094462541,0.8026425339366513,0.0,0.9162445255474446,0,1.128095238095238,0,0.8180927419354839,0.7394500000000025,0.9916129032258076,0.5250000000000009,0
test,left_manipulated,0,0,0.5103124999999994,0.48800000000000027,0.0,0.0,0.0,0.0,0.0,0,0.9887857142857135,0.9103260869565217,1.3412499999999992,1.0947499999999988,0.840263157894736,0,0.8008264947245016,1.2284358974358955,0.9333823529411771,0.82858695652174,0,0.0,0.0,0,1.1203245614035087,0.8155029940119755,0.0,0.9075912408759117,0,1.128095238095238,0,0.7608039215686281,0.6886000000000039,1.1115789473684228,0.5500000000000007,0
test,right_manipulated,0,0,0.9801791421362489,0.7081067484662578,0.605575,1.1225180995475126,0.0,0.0,0.0,0,1.2466666666666668,1.0716129032258073,0.7716666666666634,0.8125000000000008,0.9531395348837206,0,0.9083275261324042,1.8638521739130411,0.7580548780487811,0.0,0,0.3400000000000176,0.4899999999999807,0,1.4101898734177216,0.7628703703703708,0.0,0.9248978102189775,0,0.0,0,0.8581164383561639,0.7648750000000017,0.8016666666666671,0.4750000000000014,0
valid,manipulated,0,0,1.250861963190184,0.7555235294117646,0.7022025316455701,1.0650594479830149,0.0,0.0,0.0,0,1.1966542056074765,1.0440860655737703,1.0055769230769234,1.3520833333333346,1.2323591549295791,0,1.023344262295082,2.0540775862068967,0.9799953051643198,0.8280399999999998,0,0.9900000000000001,0.7650000000000005,0,1.4913597122302158,0.8926573426573422,0.0,1.1627659574468086,0,0.8463333333333328,0,1.0507897196261688,1.208333333333331,1.057045454545451,0.9359090909090917,0
valid,left_manipulated,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.185650485436893,1.0378624999999997,0.9997727272727274,1.3859090909090916,1.201283185840709,0,0.9943922462941848,2.139688888888889,0.9688073394495414,0.8406956521739124,0,0.0,0.7650000000000005,0,1.322203125,0.8887121212121207,0.0,1.150267326732676,0,0.8463333333333328,0,0.9372815533980587,1.3321428571428566,1.3649999999999984,0.384999999999998,0
valid,right_manipulated,0,0,1.250861963190184,0.7555235294117646,0.7022025316455701,1.0650594479830149,0.0,0.0,0.0,0,1.480000000000002,1.417500000000004,1.0375000000000014,0.9800000000000088,1.353448275862073,0,1.1382352941176468,1.9998169014084506,0.9917211538461548,0.6825000000000045,0,0.9900000000000001,0.0,0,1.8690116279069773,0.9400000000000003,0.0,1.1772758620689623,0,0.0,0,1.1561171171171183,1.129545454545451,0.8810714285714241,0.9910000000000011,0
